rowindex,contract,price_crossing,price_distortion,roll_start,roll_heart,near_minus_next,ctd_last_first,ctd1_percent,delivery_cost,delivery_ratio,squeeze
1,TUZ92 Comdty,0.157659255,0.900783269,0.016052581,1,1,0.902810662,1,0.010742826,0.099312908,TRUE
2,TUH93 Comdty,0.018587922,1,1,0.084723532,0.778847085,1,0.136068955,0.154116204,1,FALSE
3,TUM93 Comdty,0.035755198,0.045987096,0.673542818,1,0.027688954,0.067889485,0.007696184,0.034742591,0.17167602,FALSE
4,TUU93 Comdty,0.663832349,1,0.063056817,0.188899323,0.064453868,0.005741804,0.166102377,0.956667793,1,TRUE
5,TUZ93 Comdty,0.109677923,0.113600681,0.726244142,1,1,1,1,0.105467277,0.145024929,FALSE
6,TUH94 Comdty,0.141515198,1,0.170614678,0.860103415,0.061345392,1,1,1,0.633824204,TRUE
7,TUM94 Comdty,0.893747141,0.149239761,0.132354913,1,0.028572701,0.704823307,0.093089997,0.026012085,0.671559103,FALSE
8,TUU94 Comdty,1,0.103166384,0.191749315,0.188426693,0.769676249,1,0.042593979,0.108837424,1,TRUE
9,TUZ94 Comdty,0.097676496,1,1,1,1,0.151218322,0.090620624,0.571657674,0.03022513,FALSE
10,TUH95 Comdty,0.181764643,0.161110604,0.125682833,0.053496261,0.015897235,0.18436791,0.717187686,0.718957605,1,FALSE
11,TUM95 Comdty,0.771887362,1,0.168103755,1,0.011632276,0.675969268,1,0.936462285,0.164825342,TRUE
12,TUU95 Comdty,0.013000107,0.031419058,0.072204606,0.756796527,0.990672605,0.01571428,0.840193704,0.023284171,0.131256662,FALSE
13,TUZ95 Comdty,0.105197912,0.135072389,1,0.164497609,1,0.097099222,0.820878985,0.139428993,0.059766652,FALSE
14,TUH96 Comdty,1,0.5742258,1,0.055104936,0.101511525,0.037403971,0.022776301,1,1,FALSE
15,TUM96 Comdty,0.026309551,1,1,0.843471951,0.003976308,0.030991272,0.084846079,0.688517474,1,FALSE
16,TUU96 Comdty,0.090382116,0.003983796,1,0.055558246,0.022549655,0.020933563,0.079725963,0.572909681,0.830738912,FALSE
17,TUZ96 Comdty,0.089145722,0.136573542,0.688823998,0.023957092,0.756532045,0.153310695,0.108139987,1,0.152999846,FALSE
18,TUH97 Comdty,1,0.193854873,0.031313432,0.092593625,1,1,0.587519807,0.172785385,0.144497196,FALSE
19,TUM97 Comdty,0.851001577,0.603627867,0.02161644,0.668989112,1,0.160594959,0.068588508,1,0.056958535,FALSE
20,TUU97 Comdty,1,1,0.158298106,0.793858563,0.175418355,1,0.131656346,0.108764555,0.149157429,FALSE
21,TUZ97 Comdty,0.107228283,0.790407839,0.09712857,0.901347393,0.690349687,0.068369611,0.044865917,0.683788413,0.111967032,FALSE
22,TUH98 Comdty,0.03776505,0.793295852,1,0.652596524,0.086439049,1,0.852378475,0.04212946,0.76057453,FALSE
23,TUM98 Comdty,0.846480613,1,0.958349595,0.192537305,0.070325207,0.570728912,1,0.026693977,0.762282477,TRUE
24,TUU98 Comdty,0.004397379,1,1,1,0.117722293,0.122776422,0.169368412,0.061382242,1,FALSE
25,TUZ98 Comdty,0.00609586,1,0.1431462,0.134591067,1,0.034673267,0.180603033,0.062648588,0.032814483,TRUE
26,TUH99 Comdty,1,1,1,0.000864213,0.075315535,1,0.039733856,0.121711538,1,TRUE
